0,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,0.0,0.0,8.0,34.0,185.0,327.0,488.0,398.0,352.0,376.0,612.0,225.0
Alabama,0.0,0.0,23.0,157.0,118.0,393.0,2425.0,1422.0,1416.0,1001.0,1935.0,838.0
Alabama,0.0,0.0,0.0,38.0,134.0,156.0,275.0,156.0,135.0,165.0,119.0,45.0
Alabama,0.0,0.0,3.0,37.0,37.0,99.0,193.0,189.0,110.0,209.0,319.0,97.0
Alabama,0.0,0.0,7.0,32.0,27.0,152.0,581.0,533.0,304.0,473.0,888.0,302.0
Alabama,0.0,0.0,2.0,11.0,196.0,147.0,83.0,125.0,47.0,42.0,49.0,11.0
Alabama,0.0,0.0,1.0,54.0,358.0,186.0,150.0,116.0,50.0,108.0,155.0,58.0
Alabama,0.0,0.0,10.0,87.0,72.0,109.0,1167.0,1137.0,974.0,1327.0,1547.0,666.0
Alabama,0.0,0.0,40.0,252.0,78.0,224.0,268.0,175.0,135.0,220.0,387.0,127.0
Alabama,0.0,0.0,1.0,15.0,22.0,38.0,166.0,172.0,195.0,173.0,252.0,59.0
Alabama,0.0,0.0,11.0,44.0,50.0,113.0,491.0,494.0,401.0,347.0,323.0,117.0
Alabama,0.0,0.0,4.0,40.0,108.0,40.0,82.0,49.0,32.0,40.0,32.0,13.0
Alabama,0.0,0.0,0.0,31.0,113.0,112.0,232.0,496.0,129.0,290.0,195.0,73.0
Alabama,0.0,0.0,2.0,18.0,4.0,31.0,139.0,181.0,215.0,184.0,146.0,43.0
Alabama,0.0,0.0,5.0,7.0,2.0,14.0,84.0,118.0,187.0,174.0,187.0,43.0
Alabama,0.0,0.0,0.0,110.0,125.0,113.0,361.0,378.0,299.0,489.0,608.0,174.0
Alabama,0.0,0.0,4.0,31.0,152.0,187.0,689.0,398.0,230.0,612.0,993.0,240.0
Alabama,0.0,0.0,0.0,9.0,32.0,140.0,192.0,111.0,52.0,42.0,110.0,50.0
Alabama,0.0,0.0,3.0,27.0,10.0,15.0,40.0,47.0,38.0,49.0,125.0,39.0
Alabama,0.0,0.0,2.0,37.0,45.0,227.0,460.0,311.0,328.0,477.0,317.0,166.0
Alabama,0.0,0.0,1.0,20.0,61.0,49.0,167.0,178.0,67.0,78.0,99.0,25.0
Alabama,0.0,0.0,9.0,49.0,89.0,258.0,732.0,491.0,277.0,916.0,1694.0,517.0
Alabama,0.0,0.0,0.0,26.0,93.0,124.0,520.0,329.0,315.0,517.0,438.0,166.0
Alabama,0.0,0.0,2.0,34.0,239.0,535.0,513.0,299.0,164.0,120.0,362.0,116.0
Alabama,0.0,0.0,4.0,68.0,178.0,363.0,1064.0,491.0,312.0,1206.0,1236.0,412.0
Alabama,0.0,0.0,12.0,78.0,260.0,458.0,778.0,616.0,541.0,561.0,825.0,353.0
Alabama,0.0,0.0,0.0,26.0,40.0,197.0,743.0,412.0,195.0,158.0,218.0,110.0
Alabama,0.0,0.0,9.0,126.0,119.0,374.0,1289.0,895.0,757.0,953.0,1917.0,781.0
Alabama,0.0,0.0,1.0,7.0,10.0,55.0,115.0,158.0,134.0,133.0,312.0,136.0
Alabama,0.0,0.0,5.0,55.0,503.0,294.0,320.0,370.0,252.0,377.0,388.0,130.0
Alabama,0.0,0.0,0.0,9.0,35.0,26.0,158.0,215.0,212.0,318.0,270.0,73.0
Alabama,0.0,0.0,1.0,57.0,42.0,72.0,78.0,41.0,16.0,43.0,78.0,45.0
Alabama,0.0,0.0,1.0,48.0,128.0,120.0,166.0,109.0,90.0,136.0,180.0,50.0
Alabama,0.0,0.0,0.0,23.0,57.0,54.0,120.0,136.0,127.0,232.0,126.0,50.0
Alabama,0.0,0.0,10.0,84.0,127.0,219.0,857.0,800.0,867.0,1354.0,1059.0,297.0
Alabama,0.0,0.0,10.0,38.0,31.0,131.0,558.0,527.0,305.0,728.0,970.0,598.0
Alabama,0.0,0.0,286.0,625.0,951.0,2528.0,7150.0,4933.0,3715.0,4192.0,8684.0,3411.0
Alabama,0.0,0.0,1.0,9.0,17.0,41.0,125.0,97.0,90.0,149.0,160.0,66.0
Alabama,0.0,0.0,13.0,23.0,125.0,280.0,582.0,431.0,310.0,976.0,1483.0,403.0
Alabama,0.0,0.0,5.0,7.0,40.0,58.0,211.0,180.0,148.0,295.0,372.0,106.0
Alabama,0.0,0.0,83.0,309.0,167.0,645.0,1372.0,2131.0,1291.0,708.0,1108.0,357.0
Alabama,0.0,0.0,19.0,28.0,62.0,330.0,777.0,534.0,460.0,907.0,1216.0,411.0
